1023,32,19,32021,0,99999,9999,clwbr,39,42.937119,-78.754120,1596083705,32,32021,0,1092,
1029,15,20,32019,0,0,37,scl,37,42.849972,-78.803551,1596083732,32,32019,0,1091,
1032,14,20,16015,0,99999,9999,shops,34,42.833004,-78.785454,1596083752,16,16015,0,1063,
1035,16,20,16016,0,-180,41,abtba,38,42.871422,-78.862877,1596083736,16,16016,0,1064,
1109,13,20,13008,0,0,39,socam,39,42.951691,-78.813705,1596083706,13,13008,0,2038,
1111,24,19,24018,0,120,27,marmn,29,42.900242,-78.869583,1596083750,24,24018,0,2074,
1123,0,0,23021,5,0,51,colds,51,42.866058,-78.847580,1596083743,23,23021,0,2063,
1201,19,19,19014,0,0,44,baken,44,42.955185,-78.821228,1596083756,19,19014,0,1075,
1205,0,0,32018,5,60,49,babck,50,42.897434,-78.784264,1596083727,32,32018,0,1090,
1209,4,20,15010,0,99999,9999,michl,38,42.897160,-78.811546,1596083726,15,15010,0,1050,
1501,55,20,55043,0,0,40,mlnfb,40,43.088421,-78.983780,1596083764,55,55043,0,3111,
1512,20,20,20019,0,0,39,elken,39,42.947567,-78.878105,1596083714,20,20019,0,3049,
1514,40,20,40017,0,60,40,prtc,41,43.091228,-79.059372,1596083735,40,40017,0,3087,
1519,5,20,5022,0,99999,9999,socam,26,42.958321,-78.831985,1596083648,5,5022,0,3030,
1707,25,19,25014,0,0,40,ellop,40,42.882557,-78.872108,1596083504,25,25014,0,3062,
1708,3,19,3019,0,0,45,ellop,45,42.882614,-78.872444,1596082852,3,3019,0,3013,
1712,155,19,155003,0,420,39,falls,46,43.083584,-79.052338,1596083706,155,155003,0,3114,
1720,12,19,12025,0,-120,39,badlv,37,42.929939,-78.801949,1596083716,12,12025,0,2031,
1805,5,19,5021,0,0,40,ellop,40,42.882614,-78.872337,1596083642,5,5021,0,3029,
1814,155,20,155004,0,-120,37,quain,35,43.081493,-78.975922,1596083721,155,155004,0,3115,
1916,0,0,3017,5,0,55,front,55,43.014091,-78.969147,1596083729,3,3017,0,3011,
2512,19,20,19015,0,-240,39,wlmba,35,42.877800,-78.816093,1596083758,19,19015,0,1076,
2601,0,0,24020,5,-180,49,colds,46,42.930298,-78.739189,1596083715,24,24020,0,2076,
2602,23,20,23020,0,120,29,brrtc,31,42.930298,-78.855400,1596083741,23,23020,0,2062,
2604,12,20,12024,0,0,38,filut,38,42.911156,-78.860054,1596083651,12,12024,0,2030,
2612,6,19,6014,0,0,33,wtfrt,33,42.880329,-78.883240,1596083739,6,6014,0,1031,
2619,32,19,32020,0,60,39,brrtc,40,42.934616,-78.902260,1596083756,32,32020,0,1093,
2624,32,20,32022,0,-180,36,dlwam,33,42.938465,-78.878845,1596083720,32,32022,0,1094,
2709,13,19,13007,0,60,36,flfry,37,42.914677,-78.837013,1596083690,13,13007,0,2037,
