1022,0,0,42007,5,99999,9999,,9999,42.881981,-78.825432,1596083638,42,42007,0,1100,
1023,32,19,32021,0,99999,9999,clwbr,39,42.932140,-78.754082,1596083645,32,32021,0,1092,
1029,15,20,32019,0,0,37,scl,37,42.853214,-78.807343,1596083672,32,32019,0,1091,
1032,14,20,16015,0,99999,9999,shops,34,42.832424,-78.784859,1596083633,16,16015,0,1063,
1035,16,20,16016,0,-240,36,spkls,32,42.874168,-78.871475,1596083647,16,16016,0,1064,
1109,13,20,13008,0,0,39,socam,39,42.950180,-78.813675,1596083678,13,13008,0,2038,
1111,24,19,24018,0,120,27,marmn,29,42.894299,-78.869209,1596083631,24,24018,0,2074,
1123,0,0,23021,5,0,51,colds,51,42.859402,-78.836113,1596083623,23,23021,0,2063,
1201,19,20,19014,0,0,35,socam,35,42.955021,-78.820480,1596083635,19,19014,0,1075,
1205,32,20,32018,0,0,36,twyml,36,42.903679,-78.783859,1596083667,32,32018,0,1090,
1209,4,20,15010,0,99999,9999,bdyba,35,42.896832,-78.814270,1596083661,15,15010,0,1050,
1501,55,20,55043,0,0,40,mlnfb,40,43.090237,-78.996658,1596083656,55,55043,0,3111,
1512,20,20,20019,0,60,38,elken,39,42.947594,-78.878105,1596083653,20,20019,0,3049,
1514,40,20,40017,0,60,40,prtc,41,43.087597,-79.059151,1596083666,40,40017,0,3087,
1519,5,20,5022,0,99999,9999,socam,26,42.958321,-78.831985,1596083648,5,5022,0,3030,
1707,25,19,25014,0,0,40,ellop,40,42.882557,-78.872108,1596083504,25,25014,0,3062,
1708,3,19,3019,0,0,45,ellop,45,42.882614,-78.872444,1596082852,3,3019,0,3013,
1712,155,19,155003,0,300,36,casno,41,43.084736,-79.059006,1596083647,155,155003,0,3114,
1720,12,19,12025,0,-120,39,badlv,37,42.930683,-78.799080,1596083656,12,12025,0,2031,
1805,5,19,5021,0,0,40,ellop,40,42.882614,-78.872337,1596083642,5,5021,0,3029,
1814,155,20,155004,0,-120,37,quain,35,43.077888,-78.975845,1596083662,155,155004,0,3115,
1916,0,0,3017,5,0,55,front,55,43.025612,-78.977371,1596083670,3,3017,0,3011,
2512,19,20,19015,0,-240,39,wlmba,35,42.869026,-78.822304,1596083636,19,19015,0,1076,
2601,24,20,24020,0,0,31,airpt,31,42.933926,-78.731079,1596083654,24,24020,0,2076,
2602,23,20,23020,0,120,29,brrtc,31,42.933926,-78.874825,1596083622,23,23020,0,2062,
2604,12,20,12024,0,0,38,filut,38,42.911156,-78.860054,1596083651,12,12024,0,2030,
2612,6,19,6014,0,0,33,wtfrt,33,42.881321,-78.882721,1596083677,6,6014,0,1031,
2619,32,19,32020,0,60,39,brrtc,40,42.934559,-78.902222,1596083635,32,32020,0,1093,
2624,32,20,32022,0,-180,36,dlwam,33,42.933212,-78.877281,1596083660,32,32022,0,1094,
2709,13,19,13007,0,60,36,flfry,37,42.914566,-78.832428,1596083629,13,13007,0,2037,
